character,pinyin,part_of_speech,definition
凉,liang2,5,(1) (形声。从水，京声。本义:寒) (2) 同本义 北风其凉。北风谓之凉风。凉风至。凉雨时降。凉州，西方所在寒凉也。水浆，醴凉。 (3) 微寒，稍冷 日初出，沧沧凉凉。。注引 《字林》 :“凉，微寒。” 曰燠，曰寒。。疏:“燠是热之始，暑是热之极;凉是冷之始，寒是冷之极。” 凉风起天末，君子意如何? 唐 · 杜甫 《天末怀李白》 又如:冬暖夏凉;凉生生(微凉貌);凉宇(凉秋的天空);凉吹(凉风);凉榻(竹制矮床);凉轿(一种无帷轿);凉衣(凉衫;内衣);凉风(初秋凉爽的西南风。八风之一) (4) 薄;轻微;刻薄 职凉善背。虢多凉德。又如:凉德(薄德);凉能(才能微薄);凉菲(才德微薄);凉厚(薄与厚);凉薄(微薄，浅薄);凉驳(浅薄芜杂) (5) 人烟稀少;冷落。如:凉落(衰落);凉凉(寂寞冷落的样子);凉野(荒寒的旷野);凉声(悲凉肃杀的声音) (6) 悲怆，内心凄苦，又比喻灰心、失望。如:悲凉;凉思(凄凉的思绪);见此惨状，心都凉了 (7) 〈方〉∶痛快;舒服。如:当干部的态度好，人家穷也穷得心凉 (8) 通“谅”。诚信 民之罔极，职凉善背。
凉,liang2,6,(1) 秋季。如:凉天(秋天);凉月(凉蟾。秋月);凉宇(凉秋的天空);凉沙(秋天的飞沙);凉夜(秋夜) (2) 国名。东晋十六国时期建立在今甘肃省一带的政权，国号皆称“凉”。有前凉、后凉、北凉、南凉、西凉等 (3) 通“辌”。辒辌，丧车 棺载辒凉车中。 (4) 姓
氐,di1,10,(1) 低，低下。后作“低”。头向下垂 封君皆氐首仰给焉。。师古 曰:“氐首，犹俯首也。”
氐,di1,5,(1) 低;低廉。如:氐贱(即低贱)
氐,di1,6,(1) 中国古代的一个少数民族 ，居住在今西北一带，东晋时建立过前秦(在今黄河流域)、后凉(在今西北) 自彼氐羌。 (2) 星名 ，二十八宿之一。氐宿，东方苍龙七宿的第三宿。有星四颗。也称“天根”
芯,xin1,6,(1) 灯心草茎中的髓，俗称 “灯芯” 家有千金，不添双芯，俭之积也。光绪 年修 《黄岩县志》
竺,zhu2,6,(1) (形声。从二，竹声。本义:竹) (2) 同本义 竺，竹也。。王念孙 疏证: “竺、竹同声字。方言有重轻，故又谓竹为竺也。” (3) 印度古译名 “天竺” 的简称 双匣犹传 竺国 经。林景熙 《梦中作》 (4) 又如:竺经(佛经);竺国(天竺。古印度的别称);竺域(指天竺。即今印度);竺土(指天竺国。指古印度) (5) 山名 ，在浙江省杭州市西灵隐山飞来峰之南，分上中下三天竺，俗称三竺 朝游 三竺 ，暮宿两峰。 (6) 古代的一种乐器 高渐离 击竺。非丝非竺。宋 · 欧阳修 《醉翁亭记》
竺,zhu2,5,(1) 与佛教、佛典有关的 闲吟竺仙偈，清绝过于玉。前蜀 · 贯休 《夜雨》 (2) 又如:竺法(佛法);竺乾(佛，佛法);竺书(佛书;佛经);竺学(佛学);竺教(又称 “佛乾氏”。即佛教)
过,guo4,10,(1) (形声。从辵( chuò )，表示与行走有关，咼( guā )声。本义:走过，经过) (2) 同本义 过，度也。禹 八年于外，三过其门而不入。雷霆乍惊，宫车过也。杜牧 《阿房宫赋》 有过于江上者，见人方引婴儿而欲投之江中。行过夷门，见 侯生。又如:过江;过马路;从这条街上过;从他门前过;路过(途中经过);过翼(经过的飞鸟);过宾(路过的宾客);过处(经过之处);过来过往(来往经过);过阴(到阴间走一趟) (3) 超出，胜过 从此道至吾军，不过二十里耳。力能扛鼎，才气过人。大都不过参国之一。一出门，裘马过世家焉。古之人所以大过人者，无他焉，善推其所为而已矣。又如:过如(超过;胜过);过了漕(过了漕运期限);过情(超过实际);过实(超过实际情况);过绝(超越;超过) (4) 过去(过后) 天子偶用一物，未必不过此已忘。花过而采，则根色黯恶，此其效也。宋 · 沈括 《梦溪笔谈》 又如:三伏已过;雨过天晴;过迹(过去的形迹);过景(过时;不应景);过逝(流逝。很快地过去);过郤(过去) (5) ∶去世 陛下虽过世为神，岂假手于 苻登 而图臣，忘前征时言邪? 又如:过作(死);老太太是三天前过的;过辈(去世);过背(去世);过七(人死后每七天举行一次吊祭仪式。一般七次或五次而断七) (6) 给予;递给 邮人之过书，门者之传教也。予亦谓之过。辰州 人谓以物予人曰过。又如:过度 (7) 渡过 野市分獐闹，官帆过渡迟。宋 · 苏轼 《荆州》 又如:过索(渡河之绳索);过江(渡过长江) (8) 转移;过渡 买的房子已付款，只是过户手续还未办理好 过录底稿 又如:过龙(经手递送贿赂);过处(词的上下片过渡之处。亦称“过片”) (9) 〈方〉∶ 传染。如:过病(传染疾病) (10) 度过;过活 吾家后日当甚贫，贫无所苦，清静过日而已。清 · 林觉民 《与妻书》 又如:过阴天儿(休息);过老(度晚年);过日(度日;生活);过遣(打发日子，消磨时光) (11) 来访;前往拜访;探望 于是乘其车，揭其剑，过其友。自迎 嬴 于众人广坐之中，不谊有所过，今公子故过之。又如:过临(光临;惠临);过款(过访);过晤(前往会见) (12) 交往，相处 稍喜过从近，扶筇不驾车。宋 · 黄庭坚 《次韵德孺五丈新居病起》 过从甚密 又如:过逢;过从(互相交往);过会(农家亲朋每年定期聚会的日子，或公社每年举行庙会的节日) (13) 交谈。如:过谈(往访交谈) (14) 错，犯错误 微二人，寡人几过。人恒过，然后能改。( 赵太后 )曰:“君过矣，不若长安石之甚。” (15) 失去。如:过序(失去正常规律顺序) (16) 怪罪，责难 孔子 曰:“ 求 ，无乃尔是过与?(这恐怕应该责备你吧!)” 闻大王有意督过之，脱身得去，已至军矣。又如:不过(不怪罪);过谪(责备;怪罪);过適(怪罪，责难) (17) 继入、赘入或嫁人 孩儿也，他如今只待过门，喜事匆匆的，教我怎生回得他去。元 · 关汉卿 《窦娥冤》 又如:过嗣(过继);过给(过继) (18) 方言。指母猪生小猪。如:过下来的小猪(生下来的小猪) (19) 传递 他这个人喜欢过嘴，你说话可要注意 又如:过盏(敬酒);过嘴(传话);过语(传话);过书(传递书信);过气(传送气息以交配);过状(递交文状、诉状) (20) 帮助咽下;和着吃。如:过过(过口，改口味);过口(吃食物下酒);过酒(下酒;送酒) (21) 冲刷;漂洗。如:过水(用水漂洗) (22) 用在动词加“不”或“得”的后面，表示胜过或通过的意思。如:过不去(有阻碍，通不过);讲不过礼去(于礼仪上行不通);比得过(能胜过他人);我说不过你 (23) 用在动词后，表示完毕。如:吃过(吃完);起过(已经起床完毕) (24) 用在动词后，表示某种行为或变化曾经发生，但并未继续到现在。如:读过书(曾经读书，现己不读书);当过官(过去做过官，现己不为官) 我去过北京 饭吃过了
过,guo4,6,(1) 无意的犯法或作恶行为;错误 过，罪愆也。出入禁闼，补过拾遗。过则无惮改。夫过有厚薄，则刑有轻重。刑过不避大夫，赏善不遗匹夫。群臣吏民能面刺寡人之过者，受上赏。然而累汝至此者，未尝非予之过也。清 · 袁枚 《祭妹文》 又如:过愆(过失;罪咎);过恶(过错);勇于改过;知过必改;过行(过失行为);过计(估计错误) (2) 〈方〉∶缘故。如:离家远的过(离家远的缘故);夏天的过(因为夏天的缘故) (3) 通“祸”( huò )。灾殃 八曰诛以驭其过。又如:大过(大灾大祸)
