了,le5
纪,ji4
术,shu4
数,shu4
角,jiao3
大,da4
的,de5
重,zhong4
解,jie3
转,zhuan3
般,ban1
上,shang4
号,hao4
化,hua4
和,he2
得,de2
发,fa1
论,lun4
应,ying4
中,zhong1
舍,she4
会,hui4
更,geng4
好,hao3
结,jie2
创,chuang4
为,wei2
系,xi4
腊,la4
作,zuo4
语,yu3
过,guo4
相,xiang1
种,zhong3
通,tong1
地,di4
区,qu1
可,ke3
分,fen1
要,yao4
朝,chao2
都,dou1
间,jian1
约,yue1
万,wan4
正,zheng4
与,yu3
观,guan1
同,tong2
载,zai4
称,cheng1
说,shuo1
切,qie4
调,diao4
乐,yue4
觉,jue2
差,cha1
别,bie2
见,jian4
识,shi2
底,di3
没,mei2
教,jiao4
柏,bo2
行,xing2
什,shi2
么,me5
答,da2
那,na4
散,san4
落,luo4
混,hun4
葛,ge3
把,ba3
查,cha2
令,ling4
王,wang2
将,jiang1
长,zhang3
足,zu2
传,chuan2
远,yuan3
离,li2
兴,xing1
克,ke4
着,zhe5
衰,shuai1
参,can1
打,da3
还,hai2
蒙,meng2
尽,jin3
佛,fo2
追,zhui1
看,kan4
似,si4
合,he2
当,dang1
唯,wei2
干,gan1
服,fu2
勒,le4
卡,ka3
儿,er2
单,dan1
刺,ci4
莎,sha1
几,ji3
属,shu3
比,bi3
只,zhi3
处,chu4
便,bian4
折,zhe2
给,gei3
据,ju4
予,yu3
综,zong1
崭,zhan3
划,hua4
叶,ye4
宁,ning2
塞,sai4
采,cai3
曲,qu3
靡,mi2
强,qiang2
阿,a1
奇,qi2
匹,pi3
模,mo2
空,kong1
句,ju4
否,fou3
叉,cha1
济,ji4
子,zi3
任,ren4
夫,fu1
量,liang4
渐,jian4
弄,nong4
头,tou2
广,guang3
度,du4
操,cao1
盖,gai4
哪,na3
难,nan2
适,shi4
石,shi2
供,gong1
络,luo4
隐,yin3
藏,zang4
侧,ce4
华,hua2
色,se4
居,ju1
片,pian4
斗,dou4
价,jia4
甚,shen4
厂,chang3
率,lu:4
占,zhan4
场,chang3
听,ting1
免,mian3
荡,dang4
伯,bo2
陆,lu4
扎,zha1
累,lei3
少,shao3
压,ya1
踏,ta4
担,dan1
耶,ye1
背,bei4
秘,mi4
鲜,xian3
曾,ceng2
钻,zuan4
杠,gang4
杆,gan1
弹,dan4
降,jiang4
圈,quan1
沈,shen3
假,jia3
脉,mai4
泥,ni2
沉,chen2
浆,jiang1
板,ban3
艾,ai4
冯,feng2
铺,pu4
省,sheng3
禁,jin4
宿,su4
浅,qian3
糊,hu2
监,jian1
校,xiao4
估,gu1
堡,bao3
档,dang4
卷,juan4
冲,chong1
委,wei3
贾,jia3
扁,bian3
丽,li4
边,bian1
涌,yong3
俞,yu2
稍,shao1
尺,chi3
剿,jiao3
菲,fei1
藉,jie4
