char,pinyin,ratio
了,le5,0.9938
了,liao3,0.0062
纪,ji4,0.9876
纪,ji3,0.0124
术,shu4,1.0000
数,shu4,0.9811
数,shu3,0.0126
数,shuo4,0.0063
角,jiao3,0.5806
角,jue2,0.4194
大,da4,1.0000
的,de5,1.0000
重,zhong4,0.6306
重,chong2,0.3694
解,jie3,0.9937
解,jie4,0.0063
转,zhuan3,0.8113
转,zhuan4,0.1887
般,ban1,0.9938
般,pan2,0.0062
上,shang4,1.0000
号,hao4,1.0000
化,hua4,1.0000
和,he2,1.0000
得,de2,0.8790
得,de5,0.1210
发,fa1,0.9812
发,fa4,0.0187
论,lun4,1.0000
应,ying4,0.8063
应,ying1,0.1938
中,zhong1,0.9875
中,zhong4,0.0125
舍,she4,0.9187
舍,she3,0.0813
会,hui4,1.0000
更,geng4,0.7267
更,geng1,0.2733
好,hao3,0.8938
好,hao4,0.1062
结,jie2,1.0000
创,chuang4,0.9688
创,chuang1,0.0312
为,wei2,0.9351
为,wei4,0.0649
系,xi4,0.9938
系,ji4,0.0063
腊,la4,1.0000
作,zuo4,1.0000
语,yu3,1.0000
过,guo4,0.8938
过,guo5,0.1062
相,xiang1,0.8516
相,xiang4,0.1484
种,zhong3,1.0000
通,tong1,1.0000
地,di4,0.9187
地,de5,0.0813
区,qu1,1.0000
可,ke3,0.9938
可,ke4,0.0062
分,fen1,0.9926
分,fen4,0.0074
要,yao4,0.9375
要,yao1,0.0625
朝,chao2,1.0000
都,dou1,0.7436
都,du1,0.2564
间,jian1,1.0000
约,yue1,1.0000
万,wan4,1.0000
正,zheng4,0.9752
正,zheng1,0.0248
与,yu3,0.9371
与,yu4,0.0629
观,guan1,0.9801
观,guan4,0.0199
同,tong2,0.9938
同,tong4,0.0063
载,zai4,0.8776
载,zai3,0.1224
称,cheng1,0.9625
称,chen4,0.0375
说,shuo1,0.9937
说,shui4,0.0063
切,qie4,0.5306
切,qie1,0.4694
调,diao4,0.7267
调,tiao2,0.2733
乐,yue4,0.5321
乐,le4,0.4679
觉,jue2,0.9812
觉,jiao4,0.0187
差,cha1,0.7124
差,cha4,0.2157
差,chai1,0.0719
别,bie2,1.0000
见,jian4,1.0000
识,shi2,1.0000
底,di3,1.0000
